DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
phone,CHANNEL,g711_ulaw,FILE,fused15,300,175,0.12685714285714284,0.9458285714285715
phone,CHANNEL,g711_ulaw,VOICE,v18,200,100,0.08999999999999998,0.9763999999999999
phone,CHANNEL,g711_ulaw,VOICE,patch,200,100,0.29000000000000004,0.765
phone,CHANNEL,g711_ulaw,VOICE,fused05,200,100,0.08999999999999998,0.9763999999999999
phone,CHANNEL,g711_ulaw,VOICE,fused15,200,100,0.08999999999999998,0.9763999999999999
phone,CHANNEL,g711_ulaw,MUSIC,v18,200,100,0.30000000000000004,0.7211000000000001
phone,CHANNEL,g711_ulaw,MUSIC,patch,200,100,0.06999999999999998,0.9756
phone,CHANNEL,g711_ulaw,MUSIC,fused05,200,100,0.24,0.8207
phone,CHANNEL,g711_ulaw,MUSIC,fused15,200,100,0.10999999999999999,0.9265999999999999
phone,CHANNEL,g726_24k,FILE,v18,300,175,0.1902857142857143,0.9019885714285714
phone,CHANNEL,g726_24k,FILE,patch,300,175,0.16685714285714287,0.9006628571428571
phone,CHANNEL,g726_24k,FILE,fused05,300,175,0.13657142857142857,0.9364114285714286
phone,CHANNEL,g726_24k,FILE,fused15,300,175,0.0965714285714286,0.9587200000000001
phone,CHANNEL,g726_24k,VOICE,v18,200,100,0.06999999999999998,0.978
phone,CHANNEL,g726_24k,VOICE,patch,200,100,0.30000000000000004,0.76105
