STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
phone_soft_router,0.25,0.2,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
phone_hard_router,0.25,0.2,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
phone_soft_router,0.3,0.2,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
phone_hard_router,0.3,0.2,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
mixed_hard_router,0.3,0.2,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
mixed_hard_router,0.3,0.25,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
mixed_hard_router,0.3,0.4,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
phone_soft_router,0.5,0.15,0.8343976203884164,0.7664935064935066,0.008571428571428674,0.00933294930875587,0.1885714285714286,1.6094625554533517
mixed_hard_router,0.2,0.3,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
mixed_hard_router,0.25,0.2,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
phone_soft_router,0.25,0.3,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
phone_hard_router,0.25,0.3,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
mixed_hard_router,0.25,0.4,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
confidence_soft_router,0.0,0.25,0.8341476203884164,0.7664935064935066,0.008571428571428674,0.009082949308755861,0.1885714285714286,1.6092125554533516
fixed_soft_moe,0.5,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
phone_soft_router,0.15,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
phone_hard_router,0.15,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
phone_soft_router,0.5,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
phone_hard_router,0.5,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
mixed_hard_router,0.5,0.5,0.835611906102702,0.7716363636363637,0.00825000000000009,0.010547235023041557,0.1714285714285714,1.6154982697390656
phone_soft_router,0.2,0.5,0.8350404775312734,0.7699220779220779,0.00825000000000009,0.009975806451612964,0.17714285714285716,1.6132125554533514
phone_hard_router,0.2,0.5,0.8350404775312734,0.7699220779220779,0.00825000000000009,0.009975806451612964,0.17714285714285716,1.6132125554533514
phone_soft_router,0.5,0.4,0.8350404775312734,0.7699220779220779,0.00825000000000009,0.009975806451612964,0.17714285714285716,1.6132125554533514
phone_hard_router,0.5,0.4,0.8350404775312734,0.7699220779220779,0.00825000000000009,0.009975806451612964,0.17714285714285716,1.6132125554533514
phone_soft_router,0.15,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.15,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
mixed_hard_router,0.15,0.3,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.15,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.15,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.2,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.2,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.2,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.2,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.25,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.25,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.25,0.5,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.25,0.5,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.3,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.3,0.4,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.3,0.5,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.3,0.5,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
mixed_hard_router,0.4,0.2,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_soft_router,0.5,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
phone_hard_router,0.5,0.25,0.834469048959845,0.7682077922077922,0.00825000000000009,0.009404377880184408,0.18285714285714283,1.6109268411676372
fixed_soft_moe,0.25,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
